0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
45   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/helena/Documents/School/02/cs290/rubyProject/style/jetty/contexts at interval 0
55   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/helena/Documents/School/02/cs290/rubyProject/style/jetty/contexts/solr.xml
2099 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2167 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
2198 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
2199 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr
2201 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/'
2205 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/solr-analysis-extras-4.6.0.jar' to classloader
2206 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/contrib/' to classloader
2207 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/solr-clustering-4.6.0.jar' to classloader
2208 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/solr-langid-4.6.0.jar' to classloader
2451 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/solr.xml
2633 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 661207699
2634 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/]
2635 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib
2639 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/solr-analysis-extras-4.6.0.jar' to classloader
2640 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/contrib/' to classloader
2640 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/solr-clustering-4.6.0.jar' to classloader
2641 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/solr-langid-4.6.0.jar' to classloader
2672 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2672 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: http://
2673 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2673 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2673 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2674 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2674 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2675 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2675 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
3039 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
3041 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
3132 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'blacklight-core' using instanceDir: /home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/blacklight-core
3132 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.CoreContainer  – Creating SolrCore 'blacklight-core-test' using instanceDir: /home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/blacklight-core-test
3133 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/blacklight-core/'
3133 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/blacklight-core-test/'
3231 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
3231 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
3232 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-fsa-1.7.1.jar' to classloader
3232 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/contrib/analysis-extras/lib/icu4j-49.1.jar' to classloader
3232 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-fsa-1.7.1.jar' to classloader
3233 [coreLoadExecutor-3-thread-2] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/helena/Documents/School/02/cs290/rubyProject/style/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-polish-1.7.1.jar' to classloader
